epoch	loss	acc	val_loss	val_acc
0	28.64252847943987	0.3392857015132904	27.836091995239258	0.375
1	27.725954709734236	0.4107142984867096	26.863489151000977	0.5138888955116272
2	26.14947041102818	0.6053571701049805	25.92536735534668	0.6527777910232544
3	24.944180570329937	0.7821428775787354	24.902984619140625	0.6388888955116272
4	24.254003960745674	0.8035714030265808	24.365764617919922	0.75
5	23.910717827933176	0.9035714268684387	24.158340454101562	0.7152777910232544
6	23.807203783307756	0.8946428298950195	23.89780044555664	0.8194444179534912
7	23.702829033987864	0.887499988079071	24.001293182373047	0.7847222089767456
8	23.641853822980607	0.9160714149475098	23.652957916259766	0.8125
9	23.612166704450335	0.9089285731315613	24.033464431762695	0.8333333134651184
